Scientific name - BirdLife 2022	English name	Family	Global IUCN Red List Category		Nome do táxon (sem autoria) - CBRO 2021	English Name
Cyanocorax hafferi	Campina Jay	Corvidae (Crows and jays)	NT		Xipholena atropurpurea	White-winged Cotinga
Cyanocorax cyanopogon	White-naped Jay	Corvidae (Crows and jays)	LC		Laniisoma elegans	Shrike-like Cotinga
Cantorchilus longirostris	Long-billed Wren	Troglodytidae (Wrens)	LC		Iodopleura pipra	Buff-throated Purpletuft
Cantorchilus griseus	Grey Wren	Troglodytidae (Wrens)	LC		Onychorhynchus swainsoni	Atlantic Royal Flycatcher
Cichlopsis leucogenys	Rufous-brown Solitaire	Turdidae (Thrushes)	EN		Calyptura cristata	Kinglet Calyptura
Arremon flavirostris	Saffron-billed Sparrow	Passerellidae (New World sparrows)	LC		Phylloscartes kronei	Restinga Tyrannulet
Arremon semitorquatus	Half-collared Sparrow	Passerellidae (New World sparrows)	LC		Phylloscartes beckeri	Bahia Tyrannulet
Arremon franciscanus	Sao Francisco Sparrow	Passerellidae (New World sparrows)	NT		Phylloscartes ceciliae	Alagoas Tyrannulet
Psarocolius bifasciatus	Para Oropendola	Icteridae (New World blackbirds)	LC		Phylloscartes roquettei	Minas Gerais Tyrannulet
Icterus jamacaii	Campo Troupial	Icteridae (New World blackbirds)	LC		Phylloscartes oustaleti	Oustalet's Tyrannulet
Anumara forbesi	Forbes's Blackbird	Icteridae (New World blackbirds)	VU		Phylloscartes difficilis	Serra do Mar Tyrannulet
Agelaioides fringillarius	Pale Baywing	Icteridae (New World blackbirds)	LC		Tolmomyias sucunduri	Sucunduri Flycatcher
Myiothlypis leucophrys	White-striped Warbler	Parulidae (New World warblers)	LC		Todirostrum poliocephalum	Gray-headed Tody-Flycatcher
Orthogonys chloricterus	Olive-green Tanager	Mitrospingidae (Mitrospingid tanagers)	LC		Poecilotriccus senex	Buff-cheeked Tody-Flycatcher
Granatellus paraensis	Rose-bellied Chat	Cardinalidae (Cardinals)	LC		Hemitriccus orbitatus	Eye-ringed Tody-Tyrant
Paroaria dominicana	Red-cowled Cardinal	Thraupidae (Tanagers)	LC		Hemitriccus nidipendulus	Hangnest Tody-Tyrant
Paroaria baeri	Crimson-fronted Cardinal	Thraupidae (Tanagers)	LC		Hemitriccus mirandae	Buff-breasted Tody-Tyrant
Tangara cyanoptera	Azure-shouldered Tanager	Thraupidae (Tanagers)	NT		Hemitriccus kaempferi	Kaempfer's Tody-Tyrant
Tangara ornata	Golden-chevroned Tanager	Thraupidae (Tanagers)	LC		Hemitriccus furcatus	Fork-tailed Pygmy-Tyrant
Tangara peruviana	Black-backed Tanager	Thraupidae (Tanagers)	VU		Zimmerius chicomendesi	Chico's Tyrannulet
Tangara fastuosa	Seven-colored Tanager	Thraupidae (Tanagers)	VU		Elaenia ridleyana	Noronha Elaenia
Tangara desmaresti	Brassy-breasted Tanager	Thraupidae (Tanagers)	LC		Phyllomyias griseocapilla	Gray-capped Tyrannulet
Tangara cyanoventris	Gilt-edged Tanager	Thraupidae (Tanagers)	LC		Polystictus superciliaris	Gray-backed Tachuri
Tangara brasiliensis	White-bellied Tanager	Thraupidae (Tanagers)	LC		Attila rufus	Gray-hooded Attila
Tangara cyanomelas	Silver-breasted Tanager	Thraupidae (Tanagers)	LC		Casiornis fuscus	Ash-throated Casiornis
Orchesticus abeillei	Brown Tanager	Thraupidae (Tanagers)	NT		Knipolegus franciscanus	Caatinga Black-Tyrant
Nemosia rourei	Cherry-throated Tanager	Thraupidae (Tanagers)	CR		Knipolegus nigerrimus	Velvety Black-Tyrant
Compsothraupis loricata	Scarlet-throated Tanager	Thraupidae (Tanagers)	LC		Hylophilus amaurocephalus	Gray-eyed Greenlet
Embernagra longicauda	Pale-throated Pampa-finch	Thraupidae (Tanagers)	LC		Vireo gracilirostris	Noronha Vireo
Hemithraupis ruficapilla	Rufous-headed Tanager	Thraupidae (Tanagers)	LC		Cyanocorax hafferi	Campina Jay
Dacnis nigripes	Black-legged Dacnis	Thraupidae (Tanagers)	NT		Cyanocorax cyanopogon	White-naped Jay
Conothraupis mesoleuca	Cone-billed Tanager	Thraupidae (Tanagers)	EN		Cantorchilus longirostris	Long-billed Wren
Sporophila ardesiaca	Dubois's Seedeater	Thraupidae (Tanagers)	LC		Cantorchilus griseus	Gray Wren
Sporophila beltoni	Tropeiro Seedeater	Thraupidae (Tanagers)	VU		Cyphorhinus interpositus	Rondonia Wren
Sporophila albogularis	White-throated Seedeater	Thraupidae (Tanagers)	LC		Cyphorhinus griseolateralis	Gray-flanked Wren
Sporophila melanogaster	Black-bellied Seedeater	Thraupidae (Tanagers)	NT		Polioptila atricapilla	White-bellied Gnatcatcher
Microspingus lateralis	Buff-breasted Warbling-finch	Thraupidae (Tanagers)	LC		Polioptila paraensis	Para Gnatcatcher
Microspingus cinereus	Cinereous Warbling-finch	Thraupidae (Tanagers)	LC		Polioptila attenboroughi	Inambari Gnatcatcher
					Arremon franciscanus	Sao Francisco Sparrow
					Arremon semitorquatus	Half-collared Sparrow
					Arremon flavirostris	Saffron-billed Sparrow
					Icterus jamacaii	Campo Troupial
					Anumara forbesi	Forbes's Blackbird
					Agelaioides fringillarius	Pale Baywing
					Agelasticus atroolivaceus	Unicolored Blackbird
					Myiothlypis leucophrys	White-striped Warbler
					Orthogonys chloricterus	Olive-green Tanager
					Caryothraustes brasiliensis	Brazilian Grosbeak
					Orchesticus abeillei	Brown Tanager
					Nemosia rourei	Cherry-throated Tanager
					Compsothraupis loricata	Scarlet-throated Tanager
					Embernagra longicauda	Pale-throated Pampa-Finch
					Hemithraupis ruficapilla	Rufous-headed Tanager
					Dacnis nigripes	Black-legged Dacnis
					Conothraupis mesoleuca	Cone-billed Tanager
					Ramphocelus bresilia	Brazilian Tanager
					Sporophila beltoni	Tropeiro Seedeater
					Sporophila ardesiaca	Dubois's Seedeater
					Sporophila albogularis	White-throated Seedeater
					Sporophila melanogaster	Black-bellied Seedeater
					Castanozoster thoracicus	Bay-chested Warbling-Finch
					Microspingus lateralis	Buff-throated Warbling-Finch
					Microspingus cinereus	Cinereous Warbling-Finch
					Paroaria dominicana	Red-cowled Cardinal
					Paroaria baeri	Araguaia Cardinal
					Paroaria xinguensis	Xingu Cardinal
					Thraupis cyanoptera	Azure-shouldered Tanager
					Thraupis ornata	Golden-chevroned Tanager
					Stilpnia peruviana	Black-backed Tanager
					Tangara fastuosa	Seven-colored Tanager
					Tangara cyanoventris	Gilt-edged Tanager
					Tangara desmaresti	Brassy-breasted Tanager
					Tangara brasiliensis	White-bellied Tanager
					Tangara cyanomelas	Silver-breasted Tanager
