Nome científico	Categoria	Nome Popular
Chordeiles minor (Forster, 1771)	DD	Bacurau-de-bando
Ciccaba huhula (Daudin, 1800)	DD	Coruja-preta
Ciccaba virgata (Cassin, 1848)	DD	Coruja-do-mato
Coccyzus euleri Cabanis, 1873	DD	Papa-lagartas-de-bico-amarelo
Cochlearius cochlearius (Linnaeus, 1766)	DD	Arapapá
Columbina minuta (Linnaeus, 1766)	DD	Rolinha-de-asa-canela
Cyanocorax cyanomelas (Vieillot, 1818)	NT	Gralha-do-pantanal
Dacnis nigripes Pelzeln, 1856	NT	saí-azul-de-perna-preta
Dysithamnus xanthopterus (Burmeister, 1856)	NT	Choca-das-costas-castanhas
Formicivora rufa (Wied, 1831)	NT	Formigueiro
Galbula ruficauda Cuvier, 1816	NT	Bico-de-agulha
Gallinago undulata (Boddaert, 1783)	DD	Narcejão
Gallinula melanops (Vieillot, 1819)	DD	Frango-d'água-carijó
Geotrygon violacea (Temminck, 1809)	DD	Juriti-vermelha
Heliornis fulica (Boddaert, 1783)	DD	Picaparra
Hemitriccus obsoletus (Miranda-Ribeiro, 1906)	DD	Mosqueteirinho-marrom
Hylophilus amaurocephalus (Nordmann, 1835)	DD	Verdinho-coroado
Hymenops perspicillatus (Gmelin, 1789)	NT	Viuvinha-de-óculos
Ixobrychus exilis (Gmelin, 1789)	DD	Socoí-vermelho
Ixobrychus involucris (Vieillot, 1823)	DD	Socoí-amarelo
Jacamaralcyon tridactyla (Vieillot, 1817)	DD	Cuitelão
Laniisoma elegans (Thunberg, 1823)	DD	Picanço
Lepidocolaptes angustirostris (Vieillot, 1818)	NT	Arapaçu-do-cerrado
Leptasthenura striolata (Pelzeln, 1856)	DD	Grimpeirinho-da-capoeira
Leptotriccus sylviolus (Cabanis & Heine, 1859)	DD	Verdinho-de-cara-canela
Lessonia rufa (Gmelin, 1789)	DD	Colegial
Leucopternis polionotus (Kaup, 1847)	NT	Gavião-pombo-grande
Limosa haemastica (Linnaeus, 1758)	DD	Maçaricão-de-bico-virado
Lipaugus lanioides (Lesson, 1844)	NT	Sabiá-da-serra
Lophornis magnificus (Vieillot, 1817)	DD	Topetinho-vermelho
Merulaxis ater Lesson, 1830	NT	Tapaculo-de-topete
Mesembrinibis cayennensis (Gmelin, 1789)	NT	Corocoró
Milvago chimango (Vieillot, 1816)	DD	Chimango
Momotus momota (Linnaeus, 1760)	NT	Húru
Neocrex erythrops (Sclater, 1867)	DD	Turuturu
Nyctibius aethereus (Wied, 1820)	DD	Mãe-da-lua
Onychorhynchus swainsoni (Pelzeln, 1858)	DD	Maria-leque
Orchesticus abeillei (Lesson, 1839)	NT	Sanhaço-marrom
Ortalis guttata (Spix, 1825)	NT	Aracuã
Panyptila cayennensis (Gmelin, 1789)	DD	Andorinhão
Passerina glaucocaerulea (D’Orbigny & Lafresnaye, 1837)	NT	Azulinho
Patagioenas speciosa (Gmelin, 1789)	DD	Pomba-trocal
Phibalura flavirostris Vieillot, 1816	NT	Tesoura-do-mato
Phyllomyias griseocapilla Sclater, 1862	DD	Piolhinho-verdoso
Phylloscartes paulista Ihering & Ihering, 1907	NT	Paulistinha
Piculus flavigula (Boddaert, 1783)	NT	Pica-pau-dourado-pequeno
Pilherodius pileatus (Boddaert, 1783)	NT	Garça-real
Piranga flava (Vieillot, 1822)	NT	Sanhaço-de-fogo
Plegadis chihi (Vieillot, 1817)	NT	Maçarico-preto
Polystictus pectoralis (Vieillot, 1817)	DD	Papa-moscas-canela
Poospiza thoracica (Nordmann, 1835)	NT	Pinhãozinho
Porphyrio flavirostris (Gmelin, 1789)	DD	Frango-d'água-carijó
Porzana flaviventer (Boddaert, 1783)	DD	Sanã-amarela
Psilorhamphus guttatus (Ménétriès, 1835)	NT	Macuquinho-pintado
Pulsatrix perspicillata (Latham, 1790)	DD	Coruja-batuqueira
Pyroderus scutatus (Shaw, 1792)	NT	Pavó
Rallus longirostris (Temminck, 1809)	DD	Saracura-sanã-dos-mangues
Rallus maculatus (Boddaert, 1783)	DD	Saracura-carijó
Ramphastos vitellinus Lichtenstein, 1823	NT	Tucano-de-bico-preto
Ramphotrigon megacephala (Swainson, 1836)	DD	Cabeçudo
Saltator atricollis Vieillot, 1817	DD	Batuqueiro
