GRUPO	CLASSE	ORDEM	FAMÍLIA	ESPÉCIE OU SUBESPÉCIE	CATEGORIA DE AMEAÇA
Aves	Aves	Cathartiformes	Cathartidae	Sarcoramphus papa (Linnaeus, 1758)	VU
Aves	Aves	Anseriformes	Anatidae	Sarkidiornis sylvicola Ihering & Ihering, 1907	CR
Aves	Aves	Passeriformes	Tityridae	Schiffornis turdina turdina (Wied, 1831)	EN
Aves	Aves	Passeriformes	Thraupidae	Schistochlamys melanopis (Latham, 1790)	EN
Aves	Aves	Passeriformes	Scleruridae	Sclerurus caudacutus umbretta (Lichtenstein, 1823)	CR
Aves	Aves	Passeriformes	Scleruridae	Sclerurus macconnelli Chubb, 1919	CR
Aves	Aves	Passeriformes	Rhinocryptidae	Scytalopus speluncae (Ménétriés, 1835)	EN
Aves	Aves	Accipitriformes	Accipitridae	Spizaetus melanoleucus (Vieillot, 1816)	VU
Aves	Aves	Accipitriformes	Accipitridae	Spizaetus ornatus (Daudin, 1800)	CR
Aves	Aves	Passeriformes	Thraupidae	Sporophila angolensis (Linnaeus, 1766)	CR
Aves	Aves	Passeriformes	Thraupidae	Sporophila falcirostris (Temminck, 1820)	CR
Aves	Aves	Passeriformes	Thraupidae	Sporophila frontalis (Verreaux, 1869)	CR
Aves	Aves	Passeriformes	Thraupidae	Stephanophorus diadematus (Temminck, 1823)	VU
Aves	Aves	Apodiformes	Trochilidae	Stephanoxis lalandi (Vieillot, 1818)	EN
Aves	Aves	Strigiformes	Strigidae	Strix huhula Daudin, 1800	EN
Aves	Aves	Suliformes	Sulidae	Sula dactylatra Lesson, 1831	CR
Aves	Aves	Suliformes	Sulidae	Sula sula (Linnaeus, 1766)	CR
Aves	Aves	Passeriformes	Thraupidae	Tangara cyanomelas (Wied, 1830)	CR
Aves	Aves	Procellariformes	Diomedeidae	Thalassarche chlororhynchos (Gmelin, 1789)	EN
Aves	Aves	Charadriiformes	Sternidae	Thalasseus acuflavidus (Cabot, 1847)	EN
Aves	Aves	Charadriiformes	Sternidae	Thalasseus maximus (Boddaert, 1783)	EN
Aves	Aves	Passeriformes	Thamnophilidae	Thamnomanes caesius caesius (Temminck, 1820)	CR
Aves	Aves	Passeriformes	Furnariidae	Thripophaga macroura (Wied, 1821)	VU
Aves	Aves	Tinamiformes	Tinamidae	Tinamus solitarius (Vieillot, 1819)	EN
Aves	Aves	Psittaciformes	Psittacidae	Touit melanonotus (Wied, 1820)	EN
Aves	Aves	Psittaciformes	Psittacidae	Touit surdus (Kuhl, 1820)	EN
Aves	Aves	Psittaciformes	Psittacidae	Triclaria malachitacea (Spix, 1824)	CR
Aves	Aves	Trogoniformes	Trogonidae	Trogon collaris Vieillot, 1817	EN
Aves	Aves	Passeriformes	Turdidae	Turdus fumigatus fumigatus Lichtenstein, 1823	EN
Aves	Aves	Accipitriformes	Accipitridae	Urubitinga coronata (Vieillot, 1817)	EN
Aves	Aves	Accipitriformes	Accipitridae	Urubitinga urubitinga (Gmelin, 1788)	EN
Aves	Aves	Piciformes	Picidae	Veniliornis affinis affinis (Swainson, 1821)	EN
Aves	Aves	Passeriformes	Cotingidae	Xipholena atropurpurea (Wied, 1820)	CR
Aves	Aves	Passeriformes	Dendrocolaptidae	Xiphorhynchus guttatus guttatus (Lichtenstein, 1820)	CR
