NOME CIENTÍFICO	AUTOR	ANO	NOME COMUM 	CLASSE	ORDEM	FAMÍLIA 	STATUS	CRITÉRIO
Tangara peruviana	(Desmarest)	1806	saíra-sapucaia	Aves	Passeriformes	Emberizidae	EN	B1ab(iii)+2ab (iii); C2a(ii)
Thalassarche chlororhynchos	(Gmelin)	1789	albatroz-de-nariz-amarelo	Aves	Procellariiformes	Diomedeidae	EN	A4bcd
Thalassarche melanophris	(Temminck)	1828	albatroz-de-sobrancelha - negra	Aves	Procellariiformes	Diomedeidae	EN	A2bd
Thalasseus acuflavidus	(Cabot)	1847	trinta-réis-de-bico-amarelo	Aves	Charadriiformes	Sternidae	VU	A2c
Thalasseus maximus	(Boddaert)	1783	trinta-réis-real	Aves	Charadriiformes	Sternidae	EN	C1
Tinamus solitarius	(Vieillot)	1819	macuco	Aves	Tinamiformes	Tinamidae	VU	B1ab(i, ii, iii, v)
Urubitinga coronata	(Vieillot)	1817	águia-cinzenta	Aves	Falconiformes	Accipitridae	CR	C2a(ii)
Veniliornis mixtus	(Boddaert)	1783	picapauzinho-chorão	Aves	Piciformes	Picidae	EN	B1ab(iii); C2a(ii)
Xanthopsar flavus	(Gmelin)	1788	veste-amarela	Aves	Passeriformes	Icteridae	VU	C1
Xolmis dominicanus	(Vieillot)	1823	noivinha-de-rabo-preto, tobianinha	Aves	Passeriformes	Tyrannidae	VU	C1
Antrostomus sericocaudatus	(Cassin)	1849	bacurau-rabo-de-seda	Aves	Caprimulgiformes	Caprimulgidae	NT	D1
Asio flammeus	(Pontoppidan)	1763	mocho-dos-banhados	Aves	Strigiformes	Strigidae	NT	A2c+3c+4c
Cacicus solitarius	(Vieillot)	1816	iraúna-de-bico-branco	Aves	Passeriformes	Icteridae	NT	D1
Cairina moschata	(Linnaeus)	1758	pato-do-mato	Aves	Anseriformes	Anatidae	NT	C1
Calonectris edwardsii	(Oustalet)	1883	pardela-de-cabo-verde	Aves	Procellariiformes	Procellariidae	NT	C1; D2
Campephilus robustus	(Lichtenstein)	1818	pica-pau-rei	Aves	Piciformes	Picidae	NT	D1
Charadrius falklandicus	Latham	1790	batuíra-de-coleira-dupla	Aves	Charadriiformes	Charadriidae	NT	D1
Cichlocolaptes leucophrus	(Jardine & Selby)	1830	trepador-sobrancelha	Aves	Passeriformes	Furnariidae	NT	D1
