Nomes	CBRO	Referência (handbook of the bird of the world and BirdLife)		Arrumar
Basileuterus flaveolus	Myiothlypis flaveola	Myiothlypis flaveola		
Basileuterus leucophrys	Myiothlypis leucophrys	Myiothlypis leucophrys		
Batara cinerea	Batara cinerea	Batara cinerea		
Biatas nigropectus	Biatas nigropectus	Biatas nigropectus		
Botaurus pinnatus	Botaurus pinnatus	Botaurus pinnatus		
Brachygalba lugubris	Brachygalba lugubris	Brachygalba lugubris		
Brachygalba lugubris melanosterna	Brachygalba lugubris melanosterna	Brachygalba lugubris melanosterna		
Brotogeris tirica	Brotogeris tirica			
Bubo virginianus	Bubo virginianus	Bubo virginianus		
Burhinus bistriatus	Burhinus bistriatus	Burhinus bistriatus		
Busarellus nigricollis	Busarellus nigricollis	Busarellus nigricollis		
Buteo albonotatus	Buteo albonotatus	Buteo albonotatus		
Buteo leucorrhous	Parabuteo leucorrhous	Parabuteo leucorrhous		
Buteo melanoleucus	Geranoaetus melanoleucus	Geranoaetus melanoleucus		
Buteo nitidus	Buteo nitidus	Buteo nitidus		
Buteo swainsoni	Buteo swainsoni	Buteo swainsoni		
Buteogallus aequinoctialis	Buteogallus aequinoctialis	Buteogallus aequinoctialis		
Cacicus koepckeae	Cacicus koepckeae	Cacicus koepckeae		
Cacicus solitarius	Cacicus solitarius	Cacicus solitarius		
Cairina moschata	Cairina moschata	Cairina moschata		
Calidris bairdii	Calidris bairdii	Calidris bairdii		
Calidris canutus	Calidris canutus	Calidris canutus		
Calidris canutus rufa	Calidris canutus rufa	Calidris canutus rufa		
Calidris himantopus	Calidris himantopus	Calidris himantopus		
Calidris minutilla	Calidris minutilla	Calidris minutilla		
Calidris pusilla	Calidris pusilla	Calidris pusilla		
Calidris subruficollis	Calidris subruficollis	Calidris subruficollis		
Calidris canutus	Calidris canutus			
Calidris pusilla	Calidris pusilla			
Calidris subruficollis	Calidris subruficollis			
Calidrissubruficollis	Calidris subruficollis	Calidris subruficollis		
Calonectris borealis	Calonectris borealis	Calonectris borealis		
Calonectris edwardsii	Calonectris edwardsii	Calonectris edwardsii		
Calyptura cristata	Calyptura cristata	Calyptura cristata		
Calyptura cristata	Calyptura cristata			
Campephilus leucopogon	Campephilus leucopogon			
Campephilus robustus	Campephilus robustus	Campephilus robustus		
Campylopterus calcirupicola	Campylopterus calcirupicola	Campylopterus calcirupicola		
Campylorhamphus cardosoi	Campylorhamphus cardosoi	Campylorhamphus probatus cardosoi		
Campylorhamphus trochilirostris	Campylorhamphus trochilirostris	Campylorhamphus trochilirostris		
Campylorhamphus trochilirostris trochilirostris	Campylorhamphus trochilirostris trochilirostris	Campylorhamphus trochilirostris trochilirostris		
Campylorhamphus cardosoi	Campylorhamphus cardosoi			
Campylorhamphus multostriatus	Campylorhamphus multostriatus			
Campylorhamphus trochilirostris trochilirostris	Campylorhamphus trochilirostris trochilirostris			
Campylorhamphusmultostriatus	Campylorhamphus multostriatus	Campylorhamphus multostriatus		
Campylorhynchus turdinus	Campylorhynchus turdinus	Campylorhynchus turdinus		
Capito dayi	Capito dayi	Capito dayi		
Capito dayi	Capito dayi			
Caprimulgus hirundinaceus	Nyctidromus hirundinaceus	Nyctipolus hirundinaceus		
Caprimulgus longirostris	Hydropsalis longirostris	Caprimulgus longirostris		
Caprimulgus sericocaudatus	Antrostomus sericocaudatus	Antrostomus sericocaudatus		
Capsiempis flaveola	Capsiempis flaveola	Capsiempis flaveola		
Cariama cristata	Cariama cristata	Cariama cristata		
Carpornis cucullata	Carpornis cucullata	Carpornis cucullata		
Carpornis melanocephala	Carpornis melanocephala	Carpornis melanocephala		
Carpornis melanocephalus	Carpornis melanocephala	Carpornis melanocephala		
Carpornis melanocephala	Carpornis melanocephala			
Caryothraustes canadensis frontalis	Caryothraustes brasiliensis			
Casiornis rufus	Casiornis rufus	Casiornis rufus		
Celeus flavus	Celeus flavus	Celeus flavus		
Celeus flavus subflavus	Celeus flavus subflavus	Celeus flavus subflavus		
Celeus galeatus	Celeus galeatus	Celeus galeatus		
Celeus obrieni	Celeus obrieni	Celeus obrieni		
Celeus torquatus	Celeus torquatus	Celeus torquatus		
Celeus torquatus pieteroyensi	Celeus torquatus pieteroyensi	Celeus torquatus pieteroyensi		
Celeus torquatus tinnunculus	Celeus torquatus tinnunculus	Celeus tinnunculus		
Celeus flavus subflavus	Celeus flavus subflavus			
Celeus obrieni	Celeus obrieni			
Celeus torquatus pieteroyensi	Celeus torquatus pieteroyensi			
Celeus torquatus tinnunculus	Celeus torquatus tinnunculus			
Ceratopipra rubrocapilla	Ceratopipra rubrocapilla	Ceratopipra rubrocapilla		
Cercomacra brasiliana	Cercomacra brasiliana	Cercomacra brasiliana		
Cercomacra ferdinandi	Cercomacra ferdinandi	Cercomacra ferdinandi		
Cercomacra ferdinandi	Cercomacra ferdinandi			
Chamaeza campanisona	Chamaeza campanisona	Chamaeza campanisona		
Chamaeza meruloides	Chamaeza meruloides	Chamaeza meruloides		
Chamaeza nobilis fulvipectus	Chamaeza nobilis fulvipectus	Chamaeza nobilis fulvipectus		
Chamaeza nobilis fulvipectus	Chamaeza nobilis fulvipectus			
Charadrius falklandicus	Charadrius falklandicus	Charadrius falklandicus		
Charadrius wilsonia	Charadrius wilsonia	Charadrius wilsonia		
Charadrius wilsonia wilsonia	Charadrius wilsonia wilsonia	Charadrius wilsonia wilsonia		
Charadrius wilsonia	Charadrius wilsonia			
Charitospiza eucosma	Charitospiza eucosma	Charitospiza eucosma		
Chelidoptera tenebrosa	Chelidoptera tenebrosa	Chelidoptera tenebrosa		
Chelidoptera tenebrosa brasiliensis	Chelidoptera tenebrosa brasiliensis	Chelidoptera tenebrosa brasiliensis		
Chiroxiphia pareola	Chiroxiphia pareola	Chiroxiphia pareola		
Chloroceryle aenea	Chloroceryle aenea	Chloroceryle aenea		
Chloroceryle inda	Chloroceryle inda	Chloroceryle inda		
Chlorophanes spiza	Chlorophanes spiza	Chlorophanes spiza		
Chondrohierax uncinatus	Chondrohierax uncinatus	Chondrohierax uncinatus		
Chordeiles minor	Chordeiles minor	Chordeiles minor		
Chroicocephalus cirrocephalus	Chroicocephalus cirrocephalus	Larus cirrocephalus		
Ciccaba huhula	Strix huhula	Ciccaba huhula		
Ciccaba virgata	Strix virgata	Ciccaba virgata		
Cichlocolaptes leucophrus	Cichlocolaptes leucophrus	Cichlocolaptes leucophrus		
Cichlocolaptes mazarbarnetti	Cichlocolaptes mazarbarnetti	Cichlocolaptes mazarbarnetti		
